"Date","MatchResult","Winner","Loser","GoalMargin"
"23/04/2023",Newcastle 6 - 1 Tottenham,Newcastle,Tottenham,5
"04/10/2020",Aston Villa 7 - 2 Liverpool,Aston Villa,Liverpool,5
"30/01/2019",Bournemouth 4 - 0 Chelsea,Bournemouth,Chelsea,4
"21/04/2019",Everton 4 - 0 Man United,Everton,Man United,4
"13/08/2022",Brentford 4 - 0 Man United,Brentford,Man United,4
"13/04/2024",Newcastle 4 - 0 Tottenham,Newcastle,Tottenham,4
"07/05/2022",Brighton 4 - 0 Man United,Brighton,Man United,4
"06/05/2024",Crystal Palace 4 - 0 Man United,Crystal Palace,Man United,4
"29/10/2022",Brighton 4 - 1 Chelsea,Brighton,Chelsea,3
"29/02/2020",Watford 3 - 0 Liverpool,Watford,Liverpool,3
"28/04/2019",Leicester 3 - 0 Arsenal,Leicester,Arsenal,3
"27/09/2020",Man City 2 - 5 Leicester,Leicester,Man City,3
"25/11/2023",Newcastle 4 - 1 Chelsea,Newcastle,Chelsea,3
"25/05/2025",Tottenham 1 - 4 Brighton,Brighton,Tottenham,3
"22/12/2024",Man United 0 - 3 Bournemouth,Bournemouth,Man United,3
"21/08/2022",Leeds 3 - 0 Chelsea,Leeds,Chelsea,3
"20/11/2021",Watford 4 - 1 Man United,Watford,Man United,3
"16/03/2024",Fulham 3 - 0 Tottenham,Fulham,Tottenham,3
"14/05/2023",Arsenal 0 - 3 Brighton,Brighton,Arsenal,3
"14/02/2025",Brighton 3 - 0 Chelsea,Brighton,Chelsea,3
