"Team","HomeMatches","HomeWins","HomeWinPct","AwayMatches","AwayWins","AwayWinPct","HomeAdvantageGap"
Tottenham,133,78,58.65,133,50,37.59,21.05
Liverpool,133,102,76.69,133,76,57.14,19.55
Sheffield United,57,17,29.82,57,7,12.28,17.54
Arsenal,133,85,63.91,133,64,48.12,15.79
Newcastle,133,63,47.37,133,42,31.58,15.79
Man City,133,105,78.95,133,86,64.66,14.29
Aston Villa,114,55,48.25,114,40,35.09,13.16
Nott'm Forest,57,22,38.6,57,15,26.32,12.28
Everton,133,52,39.1,133,36,27.07,12.03
Man United,133,71,53.38,133,55,41.35,12.03
Wolves,133,55,41.35,133,39,29.32,12.03
Brentford,76,31,40.79,76,23,30.26,10.53
Cardiff,19,6,31.58,19,4,21.05,10.53
Leicester,114,47,41.23,114,35,30.7,10.53
Luton,19,4,21.05,19,2,10.53,10.53
Norwich,38,7,18.42,38,3,7.89,10.53
Fulham,95,32,33.68,95,23,24.21,9.47
West Ham,133,54,40.6,133,42,31.58,9.02
Chelsea,133,70,52.63,133,60,45.11,7.52
Bournemouth,95,34,35.79,95,27,28.42,7.37
Watford,57,16,28.07,57,12,21.05,7.02
Brighton,133,46,34.59,133,39,29.32,5.26
Huddersfield,19,2,10.53,19,1,5.26,5.26
West Brom,19,3,15.79,19,2,10.53,5.26
Burnley,95,26,27.37,95,22,23.16,4.21
Crystal Palace,133,45,33.83,133,40,30.08,3.76
Southampton,114,28,24.56,114,25,21.93,2.63
Leeds,57,17,29.82,57,17,29.82,0.0
Ipswich,19,1,5.26,19,3,15.79,-10.53
