"Team","LongestWinStreak","StreakStart","StreakEnd"
Liverpool,18,"2019-10-27","2020-02-24"
Man City,15,"2019-02-03","2019-08-10"
Man City,15,"2020-12-19","2021-03-02"
Arsenal,8,"2024-01-20","2024-03-09"
Arsenal,8,"2024-04-20","2024-08-24"
Leicester,8,"2019-10-19","2019-12-08"
Chelsea,6,"2019-09-28","2019-11-09"
Man United,6,"2018-12-22","2019-01-19"
Newcastle,6,"2022-10-19","2022-12-26"
Newcastle,6,"2024-12-14","2025-01-15"
Nott'm Forest,6,"2024-12-07","2025-01-06"
Wolves,6,"2025-03-15","2025-04-26"
Aston Villa,5,"2023-03-18","2023-04-15"
Aston Villa,5,"2025-03-08","2025-04-19"
Tottenham,5,"2018-12-05","2018-12-26"
Bournemouth,4,"2023-12-06","2023-12-26"
Brentford,4,"2025-04-19","2025-05-10"
Brighton,4,"2025-02-14","2025-03-08"
Crystal Palace,4,"2020-02-22","2020-06-20"
Everton,4,"2020-09-13","2020-10-03"
Everton,4,"2020-12-12","2020-12-26"
Everton,4,"2023-12-02","2023-12-16"
Fulham,4,"2022-12-26","2023-01-12"
Leeds,4,"2021-05-08","2021-05-23"
Watford,4,"2018-08-11","2018-09-02"
West Ham,4,"2018-12-01","2018-12-15"
West Ham,4,"2021-01-01","2021-01-26"
West Ham,4,"2021-05-19","2021-08-23"
West Ham,4,"2021-10-17","2021-11-07"
Burnley,3,"2018-12-30","2019-01-12"
Burnley,3,"2019-03-30","2019-04-13"
Burnley,3,"2022-04-21","2022-04-30"
Sheffield United,3,"2019-12-08","2019-12-21"
Southampton,3,"2020-10-25","2020-11-06"
Cardiff,2,"2019-02-02","2019-02-09"
Luton,2,"2023-12-23","2023-12-26"
Norwich,2,"2021-11-06","2021-11-20"
Norwich,2,"2022-01-15","2022-01-21"
West Brom,2,"2021-04-03","2021-04-12"
Huddersfield,1,"2018-11-05","2018-11-05"
Huddersfield,1,"2018-11-25","2018-11-25"
Huddersfield,1,"2019-02-26","2019-02-26"
Ipswich,1,"2024-11-10","2024-11-10"
Ipswich,1,"2024-12-14","2024-12-14"
Ipswich,1,"2024-12-30","2024-12-30"
Ipswich,1,"2025-04-02","2025-04-02"
